109,AUDREY,COULTHURST,1,0,0,0,0,0,,AUDREY COULTHURST,

110,A M,CRIDLAND,1,0,0,0,0,0,,A M CRIDLAND,

111,S D,CROCKETT,1,0,1,0,0,0,,S D CROCKETT,

112,KIRSTIN,CRONN MILLS,1,0,0,0,0,0,,KIRSTIN CRONN MILLS,

113,SARAH,CROSS,1,0,0,0,0,0,,SARAH CROSS,

114,SARAH,CROSSAN,1,0,0,0,0,0,,SARAH CROSSAN,

115,MELANIE,CROWDER,1,0,0,0,0,0,,MELANIE CROWDER,

116,CATH,CROWLEY,1,0,0,0,0,0,,CATH CROWLEY,

117,CHRIS,CRUTCHER,1,0,0,0,0,0,,CHRIS CRUTCHER,

118,SIMON,CURTIS,0,1,0,0,0,1,,SIMON CURTIS,

119,GINA,DAMICO,1,0,0,0,0,0,,GINA DAMICO,

120,EMILY M,DANFORTH,0,1,0,0,0,1,,EMILY M DANFORTH,

121,APRIL,DANIELS,0,1,0,0,0,1,,APRIL DANIELS,

122,JULIE C,DAO,0,0,0,0,0,0,,JULIE C DAO,

123,JAMES,DASHNER,1,0,0,0,0,0,,JAMES DASHNER,

124,HEATHER,DAVIS,1,0,0,0,0,0,,HEATHER DAVIS,

125,ARWEN,DAYTON,1,0,0,0,0,0,,ARWEN DAYTON,

126,MELISSA,DE LA CRUZ,0,0,0,0,0,0,,MELISSA DE LA CRUZ,

127,MASON,DEAVER,0,1,0,0,0,1,,MASON DEAVER,3

128,AVA,DELLAIRA,1,0,0,0,0,0,,AVA DELLAIRA,

129,SUSAN,DENNARD,1,0,0,0,0,0,,SUSAN DENNARD,

130,SARAH,DESSEN,1,0,0,0,0,0,,SARAH DESSEN,

131,JAMES,DEVITA,1,0,0,0,0,0,,JAMES DEVITA,

132,CALLA,DEVLIN,1,0,0,0,0,0,,CALLA DEVLIN,

133,RACHEL,DEWOSKIN,1,1,0,0,0,0,,RACHEL DEWOSKIN,

134,CHERIE,DIMALINE,0,1,0,0,0,0,,CHERIE DIMALINE,

135,JENNIFER,DONNELLY,1,0,0,0,0,0,,JENNIFER DONNELLY,

136,PATRICK,DOWNES,1,0,0,0,0,0,,PATRICK DOWNES,

137,ARTHUR CONAN,DOYLE,1,0,0,0,0,0,,ARTHUR CONAN DOYLE,

138,DIANE,DUANE,1,0,1,0,0,0,,DIANE DUANE,

139,JENNIFER,DUGAN,0,1,0,0,0,1,,JENNIFER DUGAN,

140,EMILY A,DUNCAN,0,0,0,0,0,1,,EMILY A DUNCAN,3

141,CORINNE,DUYVIS,0,0,0,1,1,1,,CORINNE DUYVIS,

142,CLYDE,EDGERTON,1,0,0,0,0,0,,CLYDE EDGERTON,

143,DAVID,ELLIOTT,1,0,0,0,0,0,,DAVID ELLIOTT,

144,KATE,ELLIOTT,1,0,0,0,0,0,,KATE ELLIOTT,

145,LAURA,ELLIOTT,1,0,0,0,0,0,,LAURA ELLIOTT,

146,AKWAEKE,EMEZI,0,1,1,0,0,1,,AKWAEKE EMEZI,3

147,MICHAEL,ENDE,1,0,0,0,0,0,,MICHAEL ENDE,

148,M K,ENGLAND,1,0,0,0,0,1,,M K ENGLAND,3

149,JOHN,ESCOTT,1,0,0,0,0,0,,JOHN ESCOTT,

150,ELIZABETH,EULBERG,1,0,0,0,0,0,,ELIZABETH EULBERG,

151,AMY,EWING,1,0,0,0,0,0,,AMY EWING,

152,HAFSAH,FAIZAL,0,0,0,0,0,0,,HAFSAH FAIZAL,

153,DEBORAH,FALAYE,0,1,1,0,0,0,,DEBORAH FALAYE,

154,MICHELLE,FALKOFF,1,0,0,0,0,0,,MICHELLE FALKOFF,

155,ELIZABETH,FAMA,1,0,0,0,0,0,,ELIZABETH FAMA,

156,TERRY,FARISH,1,0,0,0,0,0,,TERRY FARISH,

157,NANCY,FARMER,1,0,0,0,0,0,,NANCY FARMER,

158,TIM,FEDERLE,0,1,0,0,0,1,,TIM FEDERLE,

159,JEAN,FERRIS,1,0,0,0,0,0,,JEAN FERRIS,

160,CATHERINE,FISHER,1,0,0,0,0,0,,CATHERINE FISHER,

161,BECCA,FITZPATRICK,1,0,0,0,0,0,,BECCA FITZPATRICK,

162,HUNTLEY,FITZPATRICK,1,0,0,0,0,0,,HUNTLEY FITZPATRICK,

163,PAUL,FLEISCHMAN,1,0,0,0,0,0,,PAUL FLEISCHMAN,

164,JESSIE ANN,FOLEY,1,0,0,0,0,0,,JESSIE ANN FOLEY,

165,GAYLE,FORMAN,1,0,0,0,0,0,,GAYLE FORMAN,

166,KAREN JOY,FOWLER,1,0,0,0,0,0,,KAREN JOY FOWLER,

167,JONATHAN,FRIESEN,1,0,0,0,0,0,,JONATHAN FRIESEN,

168,ESTHER M,FRIESNER,1,0,0,0,0,0,,ESTHER M FRIESNER,

169,ANDREW XIA,FUKUDA,0,0,0,0,0,0,,ANDREW XIA FUKUDA,

170,ISAMU,FUKUI,0,0,0,0,0,0,,ISAMU FUKUI,

171,JOSTEIN,GAARDER,1,0,0,0,0,0,,JOSTEIN GAARDER,

172,NEIL,GAIMAN,1,0,0,0,0,0,,NEIL GAIMAN,

173,RIVKA,GALCHEN,1,0,0,0,0,0,,RIVKA GALCHEN,

174,ROMINA,GARBER,0,1,1,0,0,0,,ROMINA GARBER,

175,STEPHANIE,GARBER,1,0,0,0,0,0,,STEPHANIE GARBER,

176,SALLY,GARDNER,1,0,0,1,0,0,,SALLY GARDNER,

177,WHITNEY,GARDNER,1,0,0,0,0,0,,WHITNEY GARDNER,

178,JEFF,GARVIN,1,0,0,0,0,0,,JEFF GARVIN,

179,SHANNON,GIBNEY,0,0,0,0,0,0,,SHANNON GIBNEY,

180,LAMAR,GILES,0,1,0,0,0,0,,LAMAR GILES,

181,M E,GIRARD,1,1,0,0,0,1,,M E GIRARD,

182,KATHLEEN,GLASGOW,1,0,0,0,0,0,,KATHLEEN GLASGOW,

183,LIBBY,GLEESON,1,0,0,0,0,0,,LIBBY GLEESON,

184,CHLOE,GONG,0,1,1,0,0,0,,CHLOE GONG,

185,MAURENE,GOO,0,1,0,0,0,0,,MAURENE GOO,

186,ALISON,GOODMAN,1,0,0,0,0,0,,ALISON GOODMAN,

187,S J,GOSLEE,1,0,0,0,0,0,,S J GOSLEE,

188,HELEN,GRANT,1,0,0,0,0,0,,HELEN GRANT,

189,JOHN,GREEN,0,1,0,0,1,0,,JOHN GREEN,

190,DAVID,LEVITHAN,0,1,0,0,0,1,,DAVID LEVITHAN,

191,I W,GREGORIO,0,0,0,0,0,0,,I W GREGORIO,

192,ADELE,GRIFFIN,1,0,0,0,0,0,,ADELE GRIFFIN,

193,PAUL,GRIFFIN,1,0,0,0,0,0,,PAUL GRIFFIN,

194,LEV,GROSSMAN,1,0,0,0,0,0,,LEV GROSSMAN,

195,FAIZA,GUENE,0,1,0,0,0,0,,FAIZA GUENE,

196,LEANNE,HALL,0,1,0,0,0,0,,LEANNE HALL,

197,CHRISTINA,HAMMONDS REED,0,1,0,0,0,0,,CHRISTINA HAMMONDS REED,

198,JENNY,HAN,0,1,0,0,0,0,,JENNY HAN,

199,CYNTHIA,HAND,0,0,0,0,0,0,,CYNTHIA HAND,

200,HANNA ,ALKAF,0,0,0,0,0,0,,HANNA  ALKAF,

201,PAIGE,HARBISON,1,0,0,0,0,0,,PAIGE HARBISON,

202,FRANCES,HARDINGE,1,0,0,0,0,0,,FRANCES HARDINGE,

203,JANE,HARRINGTON,1,0,0,0,0,0,,JANE HARRINGTON,

204,JOANNE,HARRIS,1,0,0,0,0,0,,JOANNE HARRIS,

205,JOHAN,HARSTAD,1,0,0,0,0,0,,JOHAN HARSTAD,

206,RACHEL,HARTMAN,1,0,0,0,0,0,,RACHEL HARTMAN,

207,RACHEL,HAWKINS,1,0,0,0,0,0,,RACHEL HAWKINS,

208,GIBBY,HAYNES,1,0,0,0,0,0,,GIBBY HAYNES,

209,HEIDI,HEILIG,0,1,0,1,0,0,,HEIDI HEILIG,

210,ANNE,HELTZEL,1,0,0,0,0,0,,ANNE HELTZEL,

211,APRIL,HENRY,1,0,0,0,0,0,,APRIL HENRY,

212,EMILY,HENRY,1,0,0,0,0,0,,EMILY HENRY,

213,GEOFF,HERBACH,1,0,0,0,0,0,,GEOFF HERBACH,

214,TESS,HILMO,1,0,0,0,0,0,,TESS HILMO,

215,S E,HINTON,1,0,0,0,0,0,,S E HINTON,

216,BONNIE SUE,HITCHCOCK,1,0,0,0,0,0,,BONNIE SUE HITCHCOCK,

217,AMANDA,HOCKING,1,0,0,0,0,0,,AMANDA HOCKING,

218,ROSAMUND,HODGE,1,0,0,0,0,0,,ROSAMUND HODGE,

219,MICHELLE,HODKIN,1,0,0,0,0,0,,MICHELLE HODKIN,

220,ALICE,HOFFMAN,1,1,0,0,0,0,,ALICE HOFFMAN,

221,CHARLIE N,HOLMBERG,1,0,0,0,0,0,,CHARLIE N HOLMBERG,

222,K A,HOLT,0,0,0,0,0,1,,K A HOLT,

223,KIMBERLY WILLIS,HOLT,1,0,0,0,0,0,,KIMBERLY WILLIS HOLT,

224,ELLEN,HOPKINS,1,0,0,0,0,0,,ELLEN HOPKINS,

225,ANTHONY,HOROWITZ,1,0,0,0,0,0,,ANTHONY HOROWITZ,

226,CHARLOTTE,HUANG,0,0,0,0,0,0,,CHARLOTTE HUANG,

227,JENNY,HUBBARD,1,0,0,0,0,0,,JENNY HUBBARD,

228,C C,HUNTER,1,0,0,0,0,0,,C C HUNTER,

229,SHAUN DAVID,HUTCHINSON,0,1,0,0,0,1,,SHAUN DAVID HUTCHINSON,

230,DOT,HUTCHISON,1,0,0,0,0,0,,DOT HUTCHISON,

231,CANDICE,ILOH,0,1,1,0,0,1,,CANDICE ILOH,3

232,HOLLY,JACKSON,1,0,0,0,0,0,,HOLLY JACKSON,

233,TIFFANY D,JACKSON,0,1,0,0,0,0,,TIFFANY D JACKSON,

234,MALIK,SHARIF,0,1,0,0,0,0,,MALIK SHARIF,

235,CATHERINE,JINKS,1,0,0,0,0,0,,CATHERINE JINKS,

236,MAUREEN,JOHNSON,1,0,0,0,0,0,,MAUREEN JOHNSON,

237,ROBERT,JORDAN,1,0,0,0,0,0,,ROBERT JORDAN,

238,SHERRYL,JORDAN,1,0,0,0,0,0,,SHERRYL JORDAN,

239,CYNTHIA,KADOHATA,0,1,0,0,0,0,,CYNTHIA KADOHATA,

240,JULIE,KAGAWA,0,0,0,0,0,0,,JULIE KAGAWA,

241,MELISSA,KANTOR,1,0,0,0,0,0,,MELISSA KANTOR,

242,BRIAN,KATCHER,1,0,0,0,0,0,,BRIAN KATCHER,

243,LAUREN,KATE,1,0,0,0,0,0,,LAUREN KATE,

244,AMIE,KAUFMAN,1,0,0,0,0,0,,AMIE KAUFMAN,

245,JAY,KRISTOFF,1,0,0,0,0,0,,JAY KRISTOFF,

246,MILLARD,KAUFMAN,1,0,0,0,0,0,,MILLARD KAUFMAN,

247,BRIGID,KEMMERER,1,0,0,0,0,0,,BRIGID KEMMERER,

